"","fromgene","togene"
"1","10000","2475"
"2","207","2475"
"3","208","2475"
"4","5290","10000"
"5","5290","207"
"6","5290","208"
"7","5291","10000"
"8","5291","207"
"9","5291","208"
"10","5293","10000"
"11","5293","207"
"12","5293","208"
"13","5295","10000"
"14","5295","207"
"15","5295","208"
"16","5296","10000"
"17","5296","207"
"18","5296","208"
"19","8503","10000"
"20","8503","207"
"21","8503","208"
"22","6654","3265"
"23","6655","3265"
"24","2885","6654"
"25","2885","6655"
"26","1154","6772"
"27","1154","6773"
"28","1154","6774"
"29","1154","6775"
"30","1154","6776"
"31","1154","6777"
"32","1154","6778"
"33","122809","3716"
"34","122809","3717"
"35","122809","3718"
"36","122809","7297"
"37","30837","3716"
"38","30837","3717"
"39","30837","3718"
"40","30837","7297"
"41","8651","3716"
"42","8651","3717"
"43","8651","3718"
"44","8651","7297"
"45","8835","3716"
"46","8835","3717"
"47","8835","3718"
"48","8835","7297"
"49","9021","3716"
"50","9021","3717"
"51","9021","3718"
"52","9021","7297"
"53","9306","3716"
"54","9306","3717"
"55","9306","3718"
"56","9306","7297"
"57","9655","3716"
"58","9655","3717"
"59","9655","3718"
"60","9655","7297"
"61","1387","6772"
"62","1387","6773"
"63","1387","6774"
"64","1387","6775"
"65","1387","6776"
"66","1387","6777"
"67","1387","6778"
"68","2033","6772"
"69","2033","6773"
"70","2033","6774"
"71","2033","6775"
"72","2033","6776"
"73","2033","6777"
"74","2033","6778"
"75","6772","6773"
"76","6772","6774"
"77","6772","6775"
"78","6772","6776"
"79","6772","6777"
"80","6772","6778"
"81","6772","1154"
"82","6772","596"
"83","6772","598"
"84","6772","4609"
"85","6772","1026"
"86","6772","316"
"87","6772","2670"
"88","6772","122809"
"89","6772","30837"
"90","6772","8651"
"91","6772","8835"
"92","6772","9021"
"93","6772","9306"
"94","6772","9655"
"95","6772","4170"
"96","6772","5292"
"97","6772","595"
"98","6772","894"
"99","6772","896"
"100","6772","10379"
"101","6772","6772"
"102","6773","6772"
"103","6773","6774"
"104","6773","6775"
"105","6773","6776"
"106","6773","6777"
"107","6773","6778"
"108","6773","1154"
"109","6773","596"
"110","6773","598"
"111","6773","4609"
"112","6773","1026"
"113","6773","316"
"114","6773","2670"
"115","6773","122809"
"116","6773","30837"
"117","6773","8651"
"118","6773","8835"
"119","6773","9021"
"120","6773","9306"
"121","6773","9655"
"122","6773","4170"
"123","6773","5292"
"124","6773","595"
"125","6773","894"
"126","6773","896"
"127","6773","10379"
"128","6773","6773"
"129","6774","6772"
"130","6774","6773"
"131","6774","6775"
"132","6774","6776"
"133","6774","6777"
"134","6774","6778"
"135","6774","1154"
"136","6774","596"
"137","6774","598"
"138","6774","4609"
"139","6774","1026"
"140","6774","316"
"141","6774","2670"
"142","6774","122809"
"143","6774","30837"
"144","6774","8651"
"145","6774","8835"
"146","6774","9021"
"147","6774","9306"
"148","6774","9655"
"149","6774","4170"
"150","6774","5292"
"151","6774","595"
"152","6774","894"
"153","6774","896"
"154","6774","10379"
"155","6774","6774"
"156","6775","6772"
"157","6775","6773"
